,Protein,Number_of_detected_peptides
810,CH10_HUMAN,10
811,CHD1_HUMAN,10
812,CI078_HUMAN,10
813,CLASR_HUMAN,10
814,COIL_HUMAN,10
815,CRKL_HUMAN,10
816,CSTF2_HUMAN,10
817,CTNA1_HUMAN,10
818,CTNB1_HUMAN,10
819,CYTSA_HUMAN,10
820,DDX20_HUMAN,10
821,DDX41_HUMAN,10
822,DLGP4_HUMAN,10
823,DNM1L_HUMAN,10
824,DNM3B_HUMAN,10
825,DUT_HUMAN,10
826,EF1A2_HUMAN,10
827,EHBP1_HUMAN,10
828,ELF1_HUMAN,10
829,EP300_HUMAN,10
830,ERRFI_HUMAN,10
831,F193A_HUMAN,10
832,FAK1_HUMAN,10
833,FMNL1_HUMAN,10
834,FOXP4_HUMAN,10
835,FUS_HUMAN,10
836,FYV1_HUMAN,10
837,GNL1_HUMAN,10
838,GSK3B_HUMAN,10
839,GTSE1_HUMAN,10
840,HCD2_HUMAN,10
841,HDAC7_HUMAN,10
842,HEAT6_HUMAN,10
843,HMGA2_HUMAN,10
844,HN1L_HUMAN,10
845,HNRPQ_HUMAN,10
846,IF4G2_HUMAN,10
847,IP3KB_HUMAN,10
848,IPO5_HUMAN,10
849,JIP4_HUMAN,10
850,K1671_HUMAN,10
851,KANL1_HUMAN,10
852,KAP2_HUMAN,10
853,KHDR1_HUMAN,10
854,KLDC4_HUMAN,10
855,LBR_HUMAN,10
856,LDHA_HUMAN,10
857,LIMD1_HUMAN,10
858,LR16C_HUMAN,10
859,LYST_HUMAN,10
860,MARE2_HUMAN,10
861,MBD1_HUMAN,10
862,MDHC_HUMAN,10
863,NCK5L_HUMAN,10
864,NDRG2_HUMAN,10
865,NDRG3_HUMAN,10
866,NELFE_HUMAN,10
867,NOP58_HUMAN,10
868,OFD1_HUMAN,10
869,OSBL3_HUMAN,10
870,PAPOG_HUMAN,10
871,PATL1_HUMAN,10
872,PDC6I_HUMAN,10
873,PDIA4_HUMAN,10
874,PDLI2_HUMAN,10
875,PHB_HUMAN,10
876,PHIP_HUMAN,10
877,PP1R7_HUMAN,10
878,PP6R1_HUMAN,10
879,PPM1H_HUMAN,10
880,RAD18_HUMAN,10
881,RAI14_HUMAN,10
882,RB12B_HUMAN,10
883,RCC1_HUMAN,10
884,REQU_HUMAN,10
885,RFX7_HUMAN,10
886,RIC8A_HUMAN,10
887,RL5_HUMAN,10
888,RL6_HUMAN,10
889,RPGF1_HUMAN,10
890,RPGP2_HUMAN,10
891,RPR1B_HUMAN,10
892,RPTOR_HUMAN,10
893,RRP8_HUMAN,10
894,RSSA_HUMAN,10
895,SC61B_HUMAN,10
896,SETD2_HUMAN,10
897,SMC4_HUMAN,10
898,SNX17_HUMAN,10
899,SP100_HUMAN,10
900,SRSF9_HUMAN,10
901,SSRP1_HUMAN,10
902,SYDC_HUMAN,10
903,SYTL2_HUMAN,10
904,TBCD1_HUMAN,10
905,TBKB1_HUMAN,10
906,TIM_HUMAN,10
907,TPD52_HUMAN,10
